epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
4,9.13953,2.21285,3.9651,1.42881,0.20633,0.11765,0.06081,0.02008,1.51325,3.60748,1.1857,5.703e-05,5.703e-05,5.703e-05
5,10.5227,1.97397,3.22477,1.42704,0.71905,0.35294,0.41078,0.17868,1.52336,2.28329,1.16964,7.472e-05,7.472e-05,7.472e-05
6,14.1502,2.04071,2.6529,1.20969,0.64689,0.83824,0.78478,0.41763,1.43726,1.31971,1.11966,9.175e-05,9.175e-05,9.175e-05
7,17.7489,2.1529,1.99385,1.10386,0.73983,0.92005,0.87282,0.50464,1.37097,1.15843,1.09714,0.00010812,0.00010812,0.00010812
8,21.3129,1.80617,1.34222,1.10042,0.76237,0.9436,0.89464,0.53569,1.36442,1.13633,1.09386,0.00012383,0.00012383,0.00012383
9,24.8055,1.65232,1.10271,1.02761,0.86603,0.92647,0.92747,0.54789,1.3858,1.04006,1.10275,0.00013888,0.00013888,0.00013888
10,28.4095,1.56622,0.95721,1.04245,0.86862,0.92647,0.92977,0.54492,1.43477,0.99033,1.1102,0.00015327,0.00015327,0.00015327
11,30.3941,1.785,1.00916,0.96989,0.88516,0.90684,0.93215,0.56405,1.45219,0.96274,1.09694,0.000167,0.000167,0.000167
12,33.9802,1.46589,0.83413,1.00987,0.86615,0.95166,0.95949,0.54839,1.4446,1.06163,1.08109,0.00018007,0.00018007,0.00018007
13,36.041,2.02008,1.18572,1.24185,0.93794,0.88913,0.96741,0.55385,1.47358,1.1729,1.09831,0.00019248,0.00019248,0.00019248
14,38.0824,2.07363,0.93492,1.21225,0.95383,0.91146,0.9736,0.55011,1.51025,1.22939,1.11364,0.00020423,0.00020423,0.00020423
15,40.4862,1.63763,0.89064,1.05745,0.91448,0.94355,0.97332,0.53312,1.51414,1.14528,1.11603,0.00021532,0.00021532,0.00021532
16,42.55,1.52322,0.79819,0.98277,0.91252,0.9204,0.9695,0.51599,1.53229,1.2158,1.12317,0.00022575,0.00022575,0.00022575
17,44.6321,1.77005,0.99812,1.17347,0.81758,0.92647,0.93045,0.49448,1.53913,1.31725,1.12309,0.00023552,0.00023552,0.00023552
18,46.7007,1.72381,0.90392,1.05881,0.81758,0.92647,0.93045,0.49448,1.53913,1.31725,1.12309,0.00024463,0.00024463,0.00024463
19,48.7888,1.8063,0.94576,1.03606,0.78461,0.91067,0.86601,0.4866,1.48721,1.26008,1.0995,0.00025308,0.00025308,0.00025308
20,50.7131,1.51835,0.94169,0.95859,0.78461,0.91067,0.86601,0.4866,1.48721,1.26008,1.0995,0.00026087,0.00026087,0.00026087
21,52.7014,1.56718,0.83224,1.03173,0.75386,0.76471,0.80949,0.47344,1.43928,1.28447,1.08619,0.000268,0.000268,0.000268
22,54.7753,1.61382,0.8671,1.00253,0.75386,0.76471,0.80949,0.47344,1.43928,1.28447,1.08619,0.00027447,0.00027447,0.00027447
23,56.7559,1.71036,0.91487,1.11373,0.72802,0.80882,0.78055,0.46183,1.42604,1.42326,1.08736,0.00028028,0.00028028,0.00028028
24,59.0221,1.65625,0.78271,1.1566,0.72802,0.80882,0.78055,0.46183,1.42604,1.42326,1.08736,0.00028543,0.00028543,0.00028543
25,60.9869,1.65179,0.76119,1.07963,0.62855,0.8212,0.65944,0.40179,1.39787,1.76713,1.08408,0.00028992,0.00028992,0.00028992
26,63.0561,1.60528,0.77682,1.0213,0.62855,0.8212,0.65944,0.40179,1.39787,1.76713,1.08408,0.00029375,0.00029375,0.00029375
27,65.0091,1.40984,0.76246,1.0689,0.49447,0.89185,0.55739,0.33203,1.42911,1.96108,1.10194,0.00029692,0.00029692,0.00029692
